panel,detector,budget,duration_months,tiw_eval,p_overlap_warning_uniform,tiw_in_window_uniform,p_overlap_indep,p_overlap_minus_indep,cad_win_zero,dtiw_win_zero,dfae_win_zero
score_only,factor_cov_lrt,1.0,6,0.328125,0.7288135593220338,0.3474576271186441,0.9080120607832214,-0.17919850146118754,0.0,0.0,0.0
score_only,factor_cov_lrt_delta,1.0,6,0.390625,1.0,0.3926553672316383,0.9487955390795832,0.05120446092041675,0.0,0.0,0.0
score_only,fused_sp,1.0,6,0.390625,0.8135593220338984,0.40677966101694923,0.9487955390795832,-0.1352362170456849,0.0,0.0,0.0
score_only,fused_fisher,1.0,6,0.375,0.7796610169491526,0.3644067796610169,0.9403953552246094,-0.1607343382754568,0.0,0.0,0.0
score_only,fused_sp_lrt_delta,1.0,6,0.296875,0.6440677966101694,0.3050847457627119,0.8791643065487733,-0.23509650993860387,0.0,0.0,0.0
score_only,fused_fisher_lrt_delta,1.0,6,0.421875,0.9322033898305084,0.40960451977401136,0.9626637667970499,-0.03046037696654147,0.0,0.0,0.0
score_only,ewma_factor_cov_lrt,1.0,6,0.40625,0.7457627118644068,0.4293785310734463,0.9561851089820266,-0.21042239711761979,0.0,0.0,0.0
score_only,cusum_factor_cov_lrt,1.0,6,0.484375,0.9322033898305084,0.5169491525423728,0.9812066675949609,-0.04900327776445246,0.0,0.0,0.0
score_only,coh_resid_t2,1.0,6,0.390625,0.8305084745762712,0.38135593220338987,0.9487955390795832,-0.11828706450331206,0.0,0.0,0.0
score_only,coh_resid_energy,1.0,6,0.265625,0.5932203389830508,0.2598870056497175,0.8431417723040795,-0.24992143332102867,0.0,0.0,0.0
score_only,ewma_coh_resid_t2,1.0,6,0.546875,0.864406779661017,0.5084745762711864,0.9913441814569524,-0.12693740179593538,0.0,0.0,0.0
score_only,cusum_coh_resid_t2,1.0,6,0.671875,1.0,0.6694915254237288,0.9987519386777421,0.001248061322257854,0.0,0.0,0.0
score_only,max_abs,1.25,6,0.515625,0.9322033898305084,0.536723163841808,0.9870851216692245,-0.05488173183871603,0.0,0.0,0.0
score_only,T2,1.25,6,0.40625,0.7288135593220338,0.4011299435028249,0.9561851089820266,-0.22737154965999273,0.0,0.0,0.0
score_only,res_energy,1.25,6,0.40625,0.7966101694915254,0.39265536723163846,0.9561851089820266,-0.15957493949050117,0.0,0.0,0.0
score_only,pc_t2,1.25,6,0.46875,0.8813559322033898,0.46045197740113003,0.9775201370939612,-0.09616420489057143,0.0,0.0,0.0
score_only,stale,1.25,6,0.0625,0.23728813559322035,0.06779661016949153,0.32106584310531616,-0.08377770751209582,0.0,0.0,0.0
score_only,factor_cov_change,1.25,6,0.484375,0.9322033898305084,0.5084745762711864,0.9812066675949609,-0.04900327776445246,0.0,0.0,0.0
score_only,factor_cov_delta,1.25,6,0.515625,0.9661016949152542,0.5338983050847458,0.9870851216692245,-0.020983426753970247,0.0,0.0,0.0
score_only,factor_cov_lrt,1.25,6,0.328125,0.7288135593220338,0.3474576271186441,0.9080120607832214,-0.17919850146118754,0.0,0.0,0.0
score_only,factor_cov_lrt_delta,1.25,6,0.453125,0.9661016949152542,0.43785310734463273,0.9732497144577792,-0.007148019542524975,0.0,0.0,0.0
